(numpy.datetime64('2024-01-19T00:00:00.000000000'), 4.38662, 4.38662, 4.3841, 4.38423, 'Friday', 'Fri', 'January', 'Jan', 4.3853925, 4.3535544999999995, 4.345067142857142, 4.375242063492063, 4.66104),
(numpy.datetime64('2024-01-18T00:00:00.000000000'), 4.39414, 4.41051, 4.3842, 4.38475, 'Thursday', 'Thu', 'January', 'Jan', 4.3934, nan, nan, nan, True),
(numpy.datetime64('2024-01-17T00:00:00.000000000'), 4.39055, 4.41251, 4.3839, 4.39394, 'Wednesday', 'Wed', 'January', 'Jan', 4.395225, nan, nan, nan, True),
(numpy.datetime64('2024-01-16T00:00:00.000000000'), 4.37024, 4.39714, 4.36982, 4.39042, 'Tuesday', 'Tue', 'January', 'Jan', 4.381905, nan, nan, nan, True),
(numpy.datetime64('2024-01-15T00:00:00.000000000'), 4.35621, 4.37789, 4.35391, 4.37018, 'Monday', 'Mon', 'January', 'Jan', 4.3645475000000005, nan, nan, nan, True),
(numpy.datetime64('2024-01-12T00:00:00.000000000'), 4.3527, 4.36492, 4.34812, 4.35942, 'Friday', 'Fri', 'January', 'Jan', 4.3562899999999996, nan, nan, nan, True),
(numpy.datetime64('2024-01-11T00:00:00.000000000'), 4.33707, 4.35889, 4.33309, 4.35231, 'Thursday', 'Thu', 'January', 'Jan', 4.34534, nan, nan, nan, True),
(numpy.datetime64('2024-01-10T00:00:00.000000000'), 4.34598, 4.35085, 4.33514, 4.33703, 'Wednesday', 'Wed', 'January', 'Jan', 4.34225, nan, nan, nan, True),
(numpy.datetime64('2024-01-09T00:00:00.000000000'), 4.33624, 4.35235, 4.3312, 4.34665, 'Tuesday', 'Tue', 'January', 'Jan', 4.34161, nan, nan, nan, True),
(numpy.datetime64('2024-01-08T00:00:00.000000000'), 4.34713, 4.35963, 4.33104, 4.33423, 'Monday', 'Mon', 'January', 'Jan', 4.3430075, nan, nan, nan, True),
(numpy.datetime64('2024-01-05T00:00:00.000000000'), 4.34693, 4.36383, 4.33997, 4.35146, 'Friday', 'Fri', 'January', 'Jan', 4.3505475, nan, nan, nan, True),
(numpy.datetime64('2024-01-04T00:00:00.000000000'), 4.35397, 4.3555, 4.34141, 4.34712, 'Thursday', 'Thu', 'January', 'Jan', 4.3495, nan, nan, nan, True),
(numpy.datetime64('2024-01-03T00:00:00.000000000'), 4.37018, 4.37459, 4.3487, 4.35434, 'Wednesday', 'Wed', 'January', 'Jan', 4.3619525, nan, nan, nan, True),
(numpy.datetime64('2024-01-02T00:00:00.000000000'), 4.34377, 4.37199, 4.33734, 4.37027, 'Tuesday', 'Tue', 'January', 'Jan', 4.3558425, nan, nan, nan, True),
(numpy.datetime64('2023-12-29T00:00:00.000000000'), 4.33655, 4.3496, 4.33297, 4.34371, 'Friday', 'Fri', 'December', 'Dec', 4.340707500000001, nan, nan, nan, True),
(numpy.datetime64('2023-12-28T00:00:00.000000000'), 4.31955, 4.34416, 4.31955, 4.33513, 'Thursday', 'Thu', 'December', 'Dec', 4.329597499999999, nan, nan, nan, True),
(numpy.datetime64('2023-12-27T00:00:00.000000000'), 4.33032, 4.33683, 4.31767, 4.31951, 'Wednesday', 'Wed', 'December', 'Dec', 4.3260825, nan, nan, nan, True),
(numpy.datetime64('2023-12-26T00:00:00.000000000'), 4.3397, 4.34746, 4.32535, 4.33007, 'Tuesday', 'Tue', 'December', 'Dec', 4.3356449999999995, nan, nan, nan, True),
(numpy.datetime64('2023-12-22T00:00:00.000000000'), 4.32905, 4.34653, 4.32494, 4.33601, 'Friday', 'Fri', 'December', 'Dec', 4.3341325, nan, nan, nan, True),
(numpy.datetime64('2023-12-21T00:00:00.000000000'), 4.34375, 4.3466, 4.32509, 4.33031, 'Thursday', 'Thu', 'December', 'Dec', 4.3364375, nan, nan, nan, True),
